id_player,team,position,captain,height,country_,market_value,age
964753,Manchester United,G,0,193.0,BEL,27000000.0,23
122951,Manchester United,M,0,185.0,BRA,7300000.0,33
927083,Manchester United,M,0,173.0,CMR,73000000.0,26
886363,Manchester United,F,0,184.0,BRA,73000000.0,26
971037,Manchester United,F,0,173.0,CIV,49000000.0,23
1397168,Manchester United,M,0,185.0,DNK,28000000.0,21
1153315,Manchester United,D,0,190.0,FRA,51000000.0,20
803031,Manchester United,D,0,188.0,NLD,42000000.0,26
986397,Manchester United,F,0,195.0,SVN,63000000.0,22
846425,Manchester United,M,0,182.0,URY,29000000.0,24
859999,Manchester United,D,0,175.0,ARG,37000000.0,28
836694,Manchester United,M,0,181.0,ENG,29000000.0,27
1445799,Manchester United,D,0,189.0,ENG,10600000.0,19
149380,Manchester United,D,0,194.0,ENG,10700000.0,32
815890,Manchester United,G,0,198.0,TUR,6800000.0,27
917007,Manchester United,F,0,193.0,NLD,26000000.0,24
1142175,Manchester United,M,0,180.0,ENG,41000000.0,20
839956,Manchester City,F,0,194.0,NOR,218000000.0,25
824509,Manchester City,G,0,196.0,ITA,46000000.0,26
331209,Manchester City,M,0,173.0,PRT,26000000.0,31
945122,Manchester City,D,0,183.0,PRT,36000000.0,27
318941,Manchester City,D,1,188.0,PRT,65000000.0,28
1142703,Manchester City,D,0,193.0,ENG,43000000.0,20
859765,Manchester City,M,0,171.0,ENG,76000000.0,25
893549,Manchester City,M,0,185.0,NLD,63000000.0,27
954056,Manchester City,M,0,186.0,ESP,48000000.0,24
964994,Manchester City,D,0,186.0,HRV,64000000.0,24
934386,Manchester City,F,0,173.0,BEL,60000000.0,23
979128,Manchester City,M,0,176.0,FRA,54000000.0,22
827606,Manchester City,M,0,191.0,ESP,68000000.0,29
1194333,Manchester City,D,0,186.0,UZB,33000000.0,21
1046795,Manchester City,M,0,176.0,BRA,47000000.0,21
149663,Manchester City,D,0,180.0,NLD,16399999.0,30
1065216,Manchester City,M,0,174.0,NOR,24000000.0,22
152077,Manchester City,D,0,188.0,ENG,16300000.0,31
1136731,Manchester City,D,0,170.0,ENG,32000000.0,21
873554,Manchester City,F,0,183.0,EGY,71000000.0,27
151545,Liverpool,D,1,195.0,NLD,18600000.0,34
869856,Liverpool,M,0,187.0,HUN,77000000.0,25
826215,Liverpool,D,0,195.0,FRA,52000000.0,26
904897,Liverpool,M,0,190.0,NLD,98000000.0,23
243609,Liverpool,G,0,193.0,BRA,18700000.0,33
1019322,Liverpool,F,0,175.0,DEU,105000000.0,22
1097425,Liverpool,D,0,180.0,HUN,41000000.0,22
862967,Liverpool,M,0,193.0,NLD,67000000.0,26
895324,Liverpool,M,0,176.0,ARG,93000000.0,27
159665,Liverpool,M,0,175.0,EGY,29000000.0,33
1048422,Liverpool,F,0,190.0,FRA,81000000.0,23
927353,Liverpool,M,0,185.0,ENG,38000000.0,25
1008402,Liverpool,D,0,181.0,NIR,33000000.0,22
970361,Liverpool,M,0,171.0,NLD,39000000.0,25
262911,Liverpool,D,0,178.0,SCO,12800000.0,31
823941,Liverpool,F,0,193.0,SWE,124000000.0,26
930997,Liverpool,G,0,200.0,GEO,29000000.0,25
845386,Liverpool,F,0,175.0,ITA,16500000.0,28
318927,Liverpool,D,0,188.0,ENG,14500000.0,28
143040,Liverpool,M,0,178.0,JPN,4600000.0,33
